DAY	SYSTOLIC BP
0.6147	96.055
0.8458	96.825
1.0252	87.79
1.1799	116.175
1.3503	91.656
1.5372	95.782
2.3665	93.962
2.6999	112.021
3.0298	124.145
3.3808	92.913
3.7112	105.811
3.8076	113.035
4.3963	93.929
4.7286	110.182
5.0018	103.984
5.3663	95.978
5.548	91.072
5.8725	93.905
6.0149	100.871
6.1902	84.868
6.4265	94.671
6.7075	101.892
6.9807	95.694
7.1666	98.013
7.4883	95.944
7.8066	87.939
8.092	102.902
8.1785	92.836
8.6883	96.957
8.9216	101.598
9.069	117.08
9.2425	97.98
9.3322	93.591
9.396	124.3
9.5395	133.072
9.6751	128.167
9.748	94.617
9.8008	106.229
10.1206	100.805
10.255	103.629
10.2609	104.157
10.4401	94.864
10.6685	90.989
10.8249	122.213
11.0434	101.048
11.1836	104.142
11.6539	119.877
11.9343	126.066
12.4717	97.928
12.5733	114.184
12.9089	136.114
13.5828	104.878
13.877	135.066
14.4623	110.025
15.1011	97.885
15.1982	106.142
15.569	109.233
15.7004	97.102
16.0711	99.934
16.2538	96.835
16.3904	93.736
16.5324	99.927
16.626	102.248
16.7261	115.924
16.8064	95.019
16.9598	121.081
17.0982	121.079
17.2221	96.045
17.3617	98.107
17.5964	105.071
17.73	96.811
17.7815	106.1
18.0607	110.225
18.2382	98.093
18.3273	92.672
18.4805	118.218
18.6584	106.86
18.6994	97.827
18.929	96.017
19.022	97.306
19.2495	91.883
19.3805	78.978
19.444	109.17
19.5787	102.716
19.7586	94.714
19.8568	105.035
19.9964	107.097
20.3595	96.768
20.4998	100.121
20.7439	123.343
21.2829	98.044
21.3781	103.204
21.5577	94.685
21.7522	111.972
22.1098	92.095
22.3473	103.962

